nj=70;
np=56;
vCapa=20;
Express={1 2 3 4 5 6 7 8 9 10 11 12 13 14};
Jobs={
< 1 48623 36616 1 5 566000 626000 "cus" "pkup" "y" 1 0 >
< 2 42178 41258 2 20 234000 294000 "cus" "pkup" "y" 2 0 >
< 3 26158 15942 3 20 133000 193000 "cus" "pkup" "y" 3 0 >
< 4 8420 9386 4 15 299000 359000 "cus" "pkup" "y" 4 0 >
< 5 4591 15037 5 12 404000 464000 "cus" "pkup" "y" 5 0 >
< 6 25291 33533 6 18 409000 469000 "cus" "pkup" "y" 6 0 >
< 7 10458 40743 7 7 439000 499000 "cus" "pkup" "y" 7 0 >
< 8 22664 15980 8 20 169000 229000 "cus" "pkup" "y" 8 0 >
< 9 49743 2268 9 9 399000 459000 "cus" "pkup" "y" 9 0 >
< 10 35322 28854 10 15 22000 82000 "cus" "pkup" "y" 10 0 >
< 11 36409 23709 11 11 172000 232000 "cus" "pkup" "y" 11 0 >
< 12 5353 48684 12 15 77000 137000 "cus" "pkup" "y" 12 0 >
< 13 35675 40944 13 18 445000 505000 "cus" "pkup" "y" 13 0 >
< 14 16447 48589 14 5 146000 206000 "cus" "pkup" "y" 14 0 >
< 15 4507 32193 15 16 164000 224000 "cus" "pkup" "n" 15 0 >
< 16 35331 22057 16 19 484000 544000 "cus" "pkup" "n" 16 0 >
< 17 24147 21486 17 19 36000 96000 "cus" "pkup" "n" 17 0 >
< 18 29567 7469 18 15 4000 64000 "cus" "pkup" "n" 18 0 >
< 19 11068 43073 19 10 493000 553000 "cus" "pkup" "n" 19 0 >
< 20 22752 32001 20 6 223000 283000 "cus" "pkup" "n" 20 0 >
< 21 19424 43380 21 5 430000 490000 "cus" "pkup" "n" 21 0 >
< 22 33023 36404 22 20 359000 419000 "cus" "pkup" "n" 22 0 >
< 23 7654 12649 23 20 525000 585000 "cus" "pkup" "n" 23 0 >
< 24 15522 44325 24 10 136000 196000 "cus" "pkup" "n" 24 0 >
< 25 3471 34386 25 19 450000 510000 "cus" "pkup" "n" 25 0 >
< 26 4959 31007 26 7 359000 419000 "cus" "pkup" "n" 26 0 >
< 27 35554 5187 27 19 25000 85000 "cus" "pkup" "n" 27 0 >
< 28 3648 28745 28 10 303000 363000 "cus" "pkup" "n" 28 0 >
< 29 11561 33959 29 18 19000 79000 "cus" "pkup" "n" 29 0 >
< 30 17988 42306 30 14 417000 477000 "cus" "pkup" "n" 30 0 >
< 31 42405 2718 31 15 105000 165000 "cus" "pkup" "n" 31 0 >
< 32 4436 48539 32 17 474000 534000 "cus" "pkup" "n" 32 0 >
< 33 11805 44055 33 8 122000 182000 "cus" "pkup" "n" 33 0 >
< 34 16367 42993 34 13 376000 436000 "cus" "pkup" "n" 34 0 >
< 35 2082 28117 35 20 87000 147000 "cus" "pkup" "n" 35 0 >
< 36 32188 42616 36 9 302000 362000 "cus" "pkup" "n" 36 0 >
< 37 44023 44306 37 14 400000 460000 "cus" "pkup" "n" 37 0 >
< 38 35033 29116 38 14 471000 531000 "cus" "pkup" "n" 38 0 >
< 39 39851 11728 39 20 458000 518000 "cus" "pkup" "n" 39 0 >
< 40 16664 35661 40 18 384000 444000 "cus" "pkup" "n" 40 0 >
< 41 2667 24735 41 8 442000 502000 "cus" "pkup" "n" 41 0 >
< 42 20966 7473 42 20 415000 475000 "cus" "pkup" "n" 42 0 >
< 43 159 25698 43 8 71000 131000 "cus" "pkup" "n" 43 0 >
< 44 18916 3195 44 15 5000 65000 "cus" "pkup" "n" 44 0 >
< 45 20344 49793 45 19 480000 540000 "cus" "pkup" "n" 45 0 >
< 46 40000 19438 46 18 357000 417000 "cus" "pkup" "n" 46 0 >
< 47 3620 35106 47 14 372000 432000 "cus" "pkup" "n" 47 0 >
< 48 46776 14953 48 7 308000 368000 "cus" "pkup" "n" 48 0 >
< 49 28737 27858 49 7 143000 203000 "cus" "pkup" "n" 49 0 >
< 50 32384 12967 50 16 100000 160000 "cus" "pkup" "n" 50 0 >
< 51 25700 6967 51 17 6000 66000 "cus" "pkup" "n" 51 0 >
