nj=70;
np=56;
vCapa=20;
Express={1 2 3 4 5 6 7 8 9 10 11 12 13 14};
Jobs={
< 1 13444 12484 1 16 325000 445000 "cus" "pkup" "y" 1 0 >
< 2 7732 17946 2 13 140000 260000 "cus" "pkup" "y" 2 0 >
< 3 1886 39326 3 11 313000 433000 "cus" "pkup" "y" 3 0 >
< 4 7281 3214 4 16 229000 349000 "cus" "pkup" "y" 4 0 >
< 5 37773 43593 5 12 188000 308000 "cus" "pkup" "y" 5 0 >
< 6 30400 16924 6 16 30000 150000 "cus" "pkup" "y" 6 0 >
< 7 21894 7184 7 9 380000 500000 "cus" "pkup" "y" 7 0 >
< 8 1652 48851 8 12 219000 339000 "cus" "pkup" "y" 8 0 >
< 9 18780 47577 9 17 375000 495000 "cus" "pkup" "y" 9 0 >
< 10 41875 21886 10 9 515000 635000 "cus" "pkup" "y" 10 0 >
< 11 1341 30599 11 16 184000 304000 "cus" "pkup" "y" 11 0 >
< 12 20934 10378 12 20 290000 410000 "cus" "pkup" "y" 12 0 >
< 13 12017 41752 13 18 160000 280000 "cus" "pkup" "y" 13 0 >
< 14 29653 43851 14 15 364000 484000 "cus" "pkup" "y" 14 0 >
< 15 10043 7387 15 8 240000 360000 "cus" "pkup" "n" 15 0 >
< 16 26449 15081 16 14 23000 143000 "cus" "pkup" "n" 16 0 >
< 17 23670 10838 17 13 107000 227000 "cus" "pkup" "n" 17 0 >
< 18 9171 9818 18 5 12000 132000 "cus" "pkup" "n" 18 0 >
< 19 15083 11187 19 7 505000 625000 "cus" "pkup" "n" 19 0 >
< 20 40666 17200 20 20 298000 418000 "cus" "pkup" "n" 20 0 >
< 21 19088 37366 21 15 194000 314000 "cus" "pkup" "n" 21 0 >
< 22 36182 16337 22 18 495000 615000 "cus" "pkup" "n" 22 0 >
< 23 6521 34495 23 5 411000 531000 "cus" "pkup" "n" 23 0 >
< 24 17453 16059 24 13 280000 400000 "cus" "pkup" "n" 24 0 >
< 25 21896 41779 25 9 493000 613000 "cus" "pkup" "n" 25 0 >
< 26 15708 17849 26 10 13000 133000 "cus" "pkup" "n" 26 0 >
< 27 19459 8134 27 5 558000 678000 "cus" "pkup" "n" 27 0 >
< 28 30204 49357 28 12 5000 125000 "cus" "pkup" "n" 28 0 >
< 29 150 16678 29 11 467000 587000 "cus" "pkup" "n" 29 0 >
< 30 40107 7616 30 14 247000 367000 "cus" "pkup" "n" 30 0 >
< 31 23476 4414 31 20 239000 359000 "cus" "pkup" "n" 31 0 >
< 32 42481 24819 32 6 284000 404000 "cus" "pkup" "n" 32 0 >
< 33 49775 31966 33 20 59000 179000 "cus" "pkup" "n" 33 0 >
< 34 49607 45765 34 9 171000 291000 "cus" "pkup" "n" 34 0 >
< 35 8099 6193 35 17 430000 550000 "cus" "pkup" "n" 35 0 >
< 36 37186 32419 36 5 360000 480000 "cus" "pkup" "n" 36 0 >
< 37 13126 49961 37 19 48000 168000 "cus" "pkup" "n" 37 0 >
