ds	cus	veh	model     	ws	tlim	Sec	Obj	Var
AA	5	1	Taxi_Express1ws	1	9	9.007	173185	64
AA	5	1	Taxi_Express2ws	1	9	9.007	173185	71
AA	5	1	Taxi_Express1ws	2	8	8.007	173185	64
AA	5	1	Taxi_Express2ws	2	8	8.006	173185	71
AA	5	1	Taxi_Express1ws	3	7	7.006	173185	64
AA	5	1	Taxi_Express2ws	3	7	7.006	173185	71
AA	5	1	Taxi_Express1	0	10	10.003	173185	32
AA	5	1	Taxi_Express2	0	10	10.006	173185	39
AA	10	1	Taxi_Express1ws	1	9	9.009	292840	120
AA	10	1	Taxi_Express2ws	1	9	9.009	292840	134
AA	10	1	Taxi_Express1ws	2	8	8.009	292840	120
AA	10	1	Taxi_Express2ws	2	8	8.01	292840	134
AA	10	1	Taxi_Express1ws	3	7	7.009	292840	120
AA	10	1	Taxi_Express2ws	3	7	7.009	292840	134
AA	10	1	Taxi_Express1	0	10	10.009	292840	60
AA	10	1	Taxi_Express2	0	10	10.009	292840	74
AA	15	2	Taxi_Express1ws	1	9	9.004	265712	276
AA	15	2	Taxi_Express2ws	1	9	9.013	231387	318
AA	15	2	Taxi_Express1ws	2	8	8.018	265712	276
AA	15	2	Taxi_Express2ws	2	8	8.02	231387	318
AA	15	2	Taxi_Express1ws	3	7	7.017	265712	276
AA	15	2	Taxi_Express2ws	3	7	7.019	231387	318
AA	15	2	Taxi_Express1	0	10	10.015	278219	138
AA	15	2	Taxi_Express2	0	10	10.018	234265	180
AA	20	2	Taxi_Express1ws	1	9	9.001	417531	360
AA	20	2	Taxi_Express2ws	1	9	9.028	335652	416
AA	20	2	Taxi_Express1ws	2	8	8.018	417531	360
AA	20	2	Taxi_Express2ws	2	8	8.028	335652	416
AA	20	2	Taxi_Express1ws	3	7	7.012	417531	360
AA	20	2	Taxi_Express2ws	3	7	7.023	335652	416
AA	20	2	Taxi_Express1	0	10	10.022	394171	180
AA	20	2	Taxi_Express2	0	10	10.026	340855	236
AA	25	2	Taxi_Express1ws	1	9	9.016	481310	444
AA	25	2	Taxi_Express2ws	1	9	9.038	446868	514
AA	25	2	Taxi_Express1ws	2	8	8.006	481310	444
AA	25	2	Taxi_Express2ws	2	8	8.039	446868	514
AA	25	2	Taxi_Express1ws	3	7	7.033	482002	444
AA	25	2	Taxi_Express2ws	3	7	7.013	446868	514
AA	25	2	Taxi_Express1	0	10	10.011	482485	222
